Date,GDP,CPI,DDS,DDB
1977-02-01,0.180187918,0.00491705,-0.083328034,-0.0300195
1977-03-01,0.163229961,0.021114763,-0.084539332,-0.031142446
1977-04-01,0.151903495,0.029874816,-0.081596882,-0.024180333
1977-05-01,0.146371252,0.047993714,-0.06948263,-0.014223752
1977-06-01,0.117176797,0.053146378,-0.074173057,-0.005689493
1977-07-01,0.131402773,0.073525446,-0.048572491,0.152947723
1977-08-01,0.123948471,0.094762386,-0.043920654,-0.0043633
1977-09-01,0.135771433,0.113200869,-0.029190617,0.141639061
1977-10-01,0.148200336,0.122780457,-0.019129908,-0.0005847
1977-11-01,0.139067158,0.138873371,-0.020472741,-0.008477682
1977-12-01,0.123073519,0.148172189,-0.027437977,-0.000584669
1978-01-01,0.181042719,0.170658065,0.181042719,-0.011108712
1978-02-01,0.159924236,0.170697212,-0.008875248,-0.020988725
1978-03-01,0.130991059,0.182443649,-0.026860285,-0.021887653
1978-04-01,0.183738872,0.194958077,0.183738872,-0.023744795
1978-05-01,0.198886043,0.177505042,0.198886043,-0.023356148
1978-06-01,0.250770732,0.179398227,0.250770732,-0.028126565
1978-07-01,0.253806833,0.174350393,0.253806833,-0.033695983
1978-08-01,0.316461505,0.175533508,0.316461505,-0.020528931
1978-09-01,0.343148504,0.158722294,0.343148504,-0.002928619
1978-10-01,0.354886258,0.133523896,0.354886258,-0.011884015
1978-11-01,0.33682358,0.122492161,-0.001493147,-0.031614419
1978-12-01,0.212639424,0.138123541,-0.084648574,-0.017334799
1979-01-01,0.293484779,0.135708186,-0.016459728,-0.026410891
1979-02-01,0.296922292,0.114369207,-0.000791307,-0.007940348
1979-03-01,0.284274937,0.100046745,0.284274937,-0.024002885
1979-04-01,0.303290138,0.082921577,0.303290138,-0.01058556
1979-05-01,0.294011218,0.049225574,0.294011218,-0.023175166
1979-06-01,0.241774345,0.023722771,-0.01693287,-0.001657864
1979-07-01,0.247428774,0.007746906,0.247428774,0.051708337
1979-08-01,0.231523786,-4.20059E-05,0.231523786,-0.009167
1979-09-01,0.261426024,-0.005719028,0.261426024,-0.011887332
1979-10-01,0.276323234,-0.023029774,0.276323234,-0.020360596
1979-11-01,0.131603161,-0.050055416,-0.093334453,-0.098595382
1979-12-01,0.14135032,-0.072850224,-0.067856002,-0.082473941
1980-01-01,0.181210525,-0.07780864,-0.018550031,-0.07647956
1980-02-01,0.226426176,-0.123799081,0.226426176,-0.147105416
1980-03-01,0.200502261,-0.165434711,-0.006468921,-0.217706409
1980-04-01,0.069361621,-0.148386449,-0.108791349,-0.213427185
1980-05-01,0.130977455,-0.114583788,-0.05024162,-0.107054302
1980-06-01,0.171409039,-0.093484845,-0.008629048,-0.056330879
1980-07-01,0.219615618,-0.08677721,0.219615618,-0.014208132
1980-08-01,0.217363372,-0.078837517,0.217363372,-0.076785214
1980-09-01,0.26841036,-0.089487018,0.26841036,-0.105542247
1980-10-01,0.284899037,-0.099769648,0.284899037,-0.128930617
1980-11-01,0.299956967,-0.096245186,0.299956967,-0.157114677
1980-12-01,0.304517119,-0.070719076,0.304517119,-0.15451033
1981-01-01,0.334043272,-0.056076971,0.334043272,-0.122566378
1981-02-01,0.295961898,-0.080141011,-0.025072388,-0.134641444
1981-03-01,0.280750484,-0.084741177,-0.029842884,-0.170762115
1981-04-01,0.335857816,-0.089257397,0.335857816,-0.141351618
1981-05-01,0.355471124,-0.138989677,0.355471124,-0.194006771
1981-06-01,0.290519928,-0.139241554,-0.037742989,-0.149245211
1981-07-01,0.289362812,-0.137581796,-0.014308901,-0.155016391
1981-08-01,0.213830054,-0.138495971,-0.049308749,-0.184903124
1981-09-01,0.19206212,-0.143383516,-0.04582452,-0.220014807
1981-10-01,0.056128461,-0.119113238,-0.138874426,-0.231200653
1981-11-01,0.070001071,-0.115901471,-0.10750631,-0.177726276
1981-12-01,0.144033599,-0.085399953,-0.018015479,-0.077696595
1982-01-01,0.082184137,-0.067738458,-0.050245027,-0.116822182
1982-02-01,0.035882185,-0.055225255,-0.069130325,-0.122992857
1982-03-01,-0.029594886,-0.007448311,-0.109206772,-0.107845891
1982-04-01,-0.079491186,0.029968794,-0.142302798,-0.087965486
1982-05-01,-0.042998185,0.057750761,-0.096677539,-0.058220574
1982-06-01,-0.070224426,0.061420192,-0.116005132,-0.047712199
1982-07-01,-0.134547121,0.090831498,-0.172800596,-0.072055818
1982-08-01,-0.12311959,0.150217291,-0.16710506,-0.028105784
1982-09-01,-0.087872453,0.199899388,-0.139235629,0.277024079
1982-10-01,-0.071933937,0.234653554,-0.119377143,0.355390113
1982-11-01,-0.019096208,0.246681521,-0.066863738,0.451440053
1982-12-01,0.076502174,0.304556135,0.076502174,0.501662952
1983-01-01,0.15040305,0.336686126,0.15040305,0.536272393
1983-02-01,0.179663596,0.338584124,0.179663596,-0.0402073
1983-03-01,0.245416522,0.358679,0.245416522,0.523748617
1983-04-01,0.287080917,0.35589224,0.287080917,-0.007339
1983-05-01,0.383975005,0.327421447,0.383975005,0.518771532
1983-06-01,0.40343358,0.296460563,0.40343358,-0.0429488
1983-07-01,0.437651326,0.287532578,0.437651326,-0.037537824
1983-08-01,0.454860641,0.262263925,0.454860641,-0.091075937
1983-09-01,0.433143326,0.243714963,-0.01678394,-0.093924233
1983-10-01,0.468415391,0.236083072,0.468415391,-0.045171829
1983-11-01,0.428046624,0.211930589,-0.007147461,-0.062738854
1983-12-01,0.419143948,0.219091058,0.419143948,-0.044997531
1984-01-01,0.424804205,0.220155121,0.424804205,-0.051294626
1984-02-01,0.39718024,0.223698194,0.39718024,-0.034896633
1984-03-01,0.315998214,0.220178111,-0.018319455,-0.05320725
1984-04-01,0.307010643,0.206797407,0.307010643,-0.071612806
1984-05-01,0.225668093,0.182540691,-0.025209503,-0.085889081
1984-06-01,0.09969762,0.189809484,-0.093692482,-0.139652606
1984-07-01,0.08391963,0.198507072,-0.081199545,-0.11735524
1984-08-01,0.024160446,0.208681949,-0.110860128,-0.055766937
1984-09-01,0.105790942,0.222197898,-0.022612228,-0.019181211
1984-10-01,0.077438263,0.275514841,-0.029959808,0.060131782
1984-11-01,0.086855352,0.299894251,-0.004491072,0.129975155
1984-12-01,0.068862595,0.323492452,-0.005470283,0.146457648
1985-01-01,0.093669042,0.361543203,0.093669042,0.167902578
1985-02-01,0.133669611,0.338690229,0.133669611,0.215900914
1985-03-01,0.130138545,0.324448015,0.130138545,-0.046833
1985-04-01,0.192747095,0.336558993,0.192747095,-0.016804427
1985-05-01,0.173608162,0.3258997,-0.014514306,0.238982867
1985-06-01,0.225737793,0.317234617,0.225737793,0.352991101
1985-07-01,0.253868171,0.307450126,0.253868171,0.372031558
1985-08-01,0.304636654,0.30417313,0.304636654,-0.011828
1985-09-01,0.311582361,0.303779446,0.311582361,0.368894061
1985-10-01,0.332391396,0.302991276,0.332391396,0.352153088
1985-11-01,0.355999857,0.298377545,0.355999857,0.377998958
1985-12-01,0.420388758,0.286623403,0.420388758,0.413984106
1986-01-01,0.464602858,0.297976178,0.464602858,0.48342124
1986-02-01,0.482059143,0.280340345,0.482059143,0.446805227
1986-03-01,0.571469719,0.333994559,0.571469719,0.587924082
1986-04-01,0.65132099,0.402796186,0.65132099,0.706555282
1986-05-01,0.694131288,0.426415734,0.694131288,0.66588774
1986-06-01,0.598533947,0.401336103,-0.032066486,-0.025084
1986-07-01,0.670406229,0.390619227,0.670406229,0.66242273
1986-08-01,0.58602888,0.403739852,-0.026660122,-0.0201808
1986-09-01,0.655017115,0.396949484,0.655017115,0.625577179
1986-10-01,0.55941603,0.372148116,-0.033383988,-0.0398319
1986-11-01,0.459020683,0.339476146,-0.068706078,-0.034878393
1986-12-01,0.503118735,0.335335466,-0.013369099,-0.005645149
1987-01-01,0.47159368,0.315932193,0.47159368,-0.008955058
1987-02-01,0.493961743,0.280039465,0.493961743,0.379175546
1987-03-01,0.499481364,0.254592603,0.499481364,0.33808668
1987-04-01,0.524375666,0.222588917,0.524375666,-0.0157989
1987-05-01,0.515066386,0.174264531,0.515066386,-0.063020869
1987-06-01,0.465003322,0.123712847,0.465003322,-0.077090735
1987-07-01,0.456908909,0.071244219,0.456908909,-0.063760972
1987-08-01,0.471604354,0.018267484,0.471604354,-0.074187959
1987-09-01,0.507361936,-0.017593489,0.507361936,-0.088636275
1987-10-01,0.49349787,-0.055899556,0.49349787,-0.122496991
1987-11-01,0.180905477,-0.015657848,-0.193905195,-0.07124985
1987-12-01,0.116321585,-0.003167267,-0.223894702,-0.066857048
1988-01-01,0.14424135,0.011888191,-0.189225472,-0.051885516
1988-02-01,0.130577049,0.041639308,-0.17665549,-0.007792693
1988-03-01,0.193241165,0.052689478,-0.109355618,0.03473616
1988-04-01,0.202803373,0.060110167,-0.078032438,-0.0224419
1988-05-01,0.174134607,0.05384175,-0.078315918,-0.033632301
1988-06-01,0.124738537,0.077547103,-0.089463458,-0.049015715
1988-07-01,0.107342061,0.078088688,-0.068632005,-0.010109141
1988-08-01,0.113883351,0.081736637,-0.030733863,-0.028925976
1988-09-01,0.026999993,0.098140316,-0.097582635,-0.025004877
1988-10-01,0.074423314,0.121263743,-0.054539718,0.086271732
1988-11-01,0.122922219,0.129332332,-0.010708749,0.119060234
1988-12-01,0.154815762,0.116228727,0.154815762,-0.0188129
1989-01-01,0.150374376,0.108852337,-0.001773102,-0.006157745
1989-02-01,0.187733027,0.080774594,0.187733027,0.118919231
1989-03-01,0.20903021,0.053054182,0.20903021,-0.017069
1989-04-01,0.23907903,0.051294964,0.23907903,-0.008650196
1989-05-01,0.331720015,0.034810841,0.331720015,0.120781846
1989-06-01,0.339730558,0.034340365,0.339730558,0.144000439
1989-07-01,0.321643497,0.032160822,-0.002655454,0.207250909
1989-08-01,0.383980066,0.033043878,0.383980066,0.221703468
1989-09-01,0.370984259,0.014584449,0.370984259,-0.0290111
1989-10-01,0.445634876,-0.001104491,0.445634876,-0.027586659
1989-11-01,0.350891836,-0.025575021,-0.053334409,0.215010234
1989-12-01,0.358265655,-0.027177785,-0.035162863,0.215992869
1990-01-01,0.396742611,-0.040494668,0.396742611,-0.0005091
1990-02-01,0.320760951,-0.076097075,-0.03650083,-0.037157533
1990-03-01,0.266466105,-0.080322288,-0.053949739,-0.04026944
1990-04-01,0.20703214,-0.058450472,-0.080310755,-0.042719536
1990-05-01,0.185635299,-0.04524428,-0.073378303,-0.069881412
1990-06-01,0.255012589,-0.030320085,0.255012589,-0.028098717
1990-07-01,0.238547252,-0.008699174,0.238547252,-0.005898354
1990-08-01,0.228579848,-0.037899881,0.228579848,0.105094072
1990-09-01,0.054053322,-0.044515635,-0.121917525,-0.042461
1990-10-01,-0.065611064,-0.030510139,-0.20466783,-0.031445567
1990-11-01,-0.0275882,-0.013652002,-0.152142653,-0.010581064
1990-12-01,-0.076349036,0.011968414,-0.180227044,0.08001213
1991-01-01,-0.040277943,0.027855363,-0.139855954,0.093054026
1991-02-01,-0.006723827,0.083495979,-0.103849003,0.099195047
1991-03-01,0.099152863,0.104760722,-0.000787617,0.108367526
1991-04-01,0.078012362,0.146305447,-0.010067112,0.112525753
1991-05-01,0.086131903,0.171567477,0.086131903,0.122073028
1991-06-01,0.109708482,0.175938439,0.109708482,-0.0014362
1991-07-01,0.062762343,0.166947955,-0.044646019,-0.009263742
1991-08-01,0.119921817,0.178872425,-0.006556943,0.130702232
1991-09-01,0.137852825,0.208316633,-0.002870819,0.171235691
1991-10-01,0.169632191,0.223040873,0.169632191,0.196739208
1991-11-01,0.19501681,0.214297126,0.19501681,-0.0007519
1991-12-01,0.150963219,0.21159951,-0.035333634,-0.00055305
1992-01-01,0.228418681,0.24000983,0.228418681,0.226642112
1992-02-01,0.271499486,0.239672827,0.271499486,-0.032116
1992-03-01,0.262196632,0.227249917,-0.004107201,-0.025925414
1992-04-01,0.21633957,0.210222105,-0.036609757,-0.036657963
1992-05-01,0.223055099,0.204487193,-0.019556706,-0.037371799
1992-06-01,0.220623482,0.1646676,0.220623482,-0.011386517
1992-07-01,0.135327984,0.12968018,-0.051807331,-0.000341727
1992-08-01,0.121305882,0.110954581,-0.041333596,0.180092612
1992-09-01,0.111352876,0.109740573,-0.030089623,0.176496622
1992-10-01,0.081971761,0.081786723,-0.04339332,0.181820508
1992-11-01,0.080452157,0.110843601,-0.034312766,-0.0188819
1992-12-01,0.084021178,0.09872053,-0.01587276,-0.014014671
1993-01-01,0.098571731,0.119521256,0.098571731,0.15343225
1993-02-01,0.094830678,0.149085727,0.094830678,0.175444734
1993-03-01,0.107827294,0.172312106,0.107827294,0.201285238
1993-04-01,0.150266955,0.166529733,0.150266955,0.190451027
1993-05-01,0.175509126,0.18041884,0.175509126,0.188947422
1993-06-01,0.174507827,0.214952093,0.174507827,0.181498361
1993-07-01,0.160471205,0.264142994,-0.006989496,0.217472658
1993-08-01,0.192352055,0.332690079,0.192352055,0.219550719
1993-09-01,0.246243571,0.378746412,0.246243571,0.263018944
1993-10-01,0.249295343,0.419691981,0.249295343,0.257305548
1993-11-01,0.297170571,0.416397741,0.297170571,0.252673171
1993-12-01,0.261776845,0.440644675,-0.02188791,-0.0247921
1994-01-01,0.367104373,0.509308162,0.367104373,-0.020674772
1994-02-01,0.375437478,0.46590175,0.375437478,0.198790874
1994-03-01,0.332038386,0.37798516,-0.014515896,-0.0399159
1994-04-01,0.223434323,0.341651777,-0.079694992,-0.076618091
1994-05-01,0.230442158,0.277740572,-0.060888464,-0.088504879
1994-06-01,0.217321684,0.167631011,-0.052870529,-0.092786992
1994-07-01,0.184864125,0.136965052,-0.056765722,-0.100140044
1994-08-01,0.196641415,0.073541873,-0.027313051,-0.073701168
1994-09-01,0.223443403,0.001696119,0.223443403,-0.07989255
1994-10-01,0.180169363,-0.024681196,-0.016668826,-0.107495681
1994-11-01,0.158624431,-0.045627656,-0.009090991,-0.110673175
1994-12-01,0.089129285,-0.068751382,-0.047007471,-0.10514423
1995-01-01,0.052092013,-0.101656319,-0.062439283,-0.090681571
1995-02-01,0.015699646,-0.098094386,-0.085365384,-0.066868249
1995-03-01,0.03768357,-0.123810332,-0.053351256,-0.041371451
1995-04-01,0.082807309,-0.10341214,-0.001606927,-0.0344282
1995-05-01,0.107064474,-0.049819518,0.107064474,-0.018450787
1995-06-01,0.129063307,-0.033419769,0.129063307,0.11334747
1995-07-01,0.128497465,-0.011668966,0.128497465,0.135326646
1995-08-01,0.177477029,0.034200565,0.177477029,-0.0139769
1995-09-01,0.148486775,0.073792784,-0.022304099,0.163547896
1995-10-01,0.176039069,0.086819341,-0.002018548,0.19828141
1995-11-01,0.166937405,0.147401244,-0.013007359,0.240715181
1995-12-01,0.192324598,0.211013455,0.192324598,0.268009582
1996-01-01,0.237146801,0.282307943,0.237146801,0.295505019
1996-02-01,0.279419226,0.263340129,0.279419226,-0.000528
1996-03-01,0.256639589,0.245066515,-0.007637766,-0.049774984
1996-04-01,0.265640875,0.272512689,0.265640875,-0.068545824
1996-05-01,0.295319482,0.284797371,0.295319482,-0.085120026
1996-06-01,0.281665853,0.269998053,0.281665853,-0.089310177
1996-07-01,0.279041839,0.274811038,0.279041839,-0.069866038
1996-08-01,0.184295999,0.275626059,-0.058625856,-0.070335849
1996-09-01,0.190031011,0.283237409,-0.038259703,-0.082361984
1996-10-01,0.206267412,0.326061356,-0.004622625,-0.056763554
1996-11-01,0.183927051,0.332693835,-0.001685495,-0.02016598
1996-12-01,0.226550348,0.326947941,0.226550348,0.091119999
1997-01-01,0.208543784,0.324022936,0.208543784,-0.02385
1997-02-01,0.233871544,0.331969073,0.233871544,-0.030239878
1997-03-01,0.225973676,0.277345265,0.225973676,-0.031284407
1997-04-01,0.177702151,0.253933184,-0.026323333,-0.053511586
1997-05-01,0.149691097,0.269071447,-0.033842934,-0.031273746
1997-06-01,0.236110064,0.265187205,0.236110064,-0.021776354
1997-07-01,0.27721831,0.286688417,0.27721831,-0.004358201
1997-08-01,0.301379375,0.254023525,0.301379375,0.125330391
1997-09-01,0.204883689,0.277107006,-0.065818045,-0.025748
1997-10-01,0.269605576,0.244517109,-0.004831073,-8.32796E-05
1997-11-01,0.162679298,0.243851372,-0.077843706,0.155290341
1997-12-01,0.144373943,0.239616417,-0.079613769,0.163880556
1998-01-01,0.157580679,0.256388553,-0.05757886,0.17512385
1998-02-01,0.171196303,0.254910123,-0.038007789,0.19177903
1998-03-01,0.249462203,0.253636508,0.249462203,-0.007544
1998-04-01,0.273936886,0.237958885,0.273936886,-0.006137789
1998-05-01,0.246812283,0.211820258,0.246812283,-0.002113641
1998-06-01,0.169078486,0.221535068,-0.039966297,0.172448597
1998-07-01,0.13510159,0.222425186,-0.053309911,0.193552611
1998-08-01,0.152558768,0.245547698,-0.022376904,-0.005142
1998-09-01,-0.074976239,0.280845699,-0.208667293,0.22582179
1998-10-01,-0.0635363,0.273618,-0.19499435,0.250633005
1998-11-01,0.059476855,0.258083141,-0.0837128,-0.016948
1998-12-01,0.106170645,0.280933137,-0.0331509,-0.008249071
1999-01-01,0.123796324,0.281447622,0.123796324,-0.00984579
1999-02-01,0.115487583,0.243022637,0.115487583,-0.000118515
1999-03-01,0.100073954,0.202881512,-0.002748466,-0.047669779
1999-04-01,0.156543643,0.207482241,0.156543643,-0.050941033
1999-05-01,0.24329717,0.173159575,0.24329717,-0.049126433
1999-06-01,0.185536501,0.115889644,-0.040775838,-0.064655244
1999-07-01,0.273229956,0.058946838,0.273229956,-0.074963585
1999-08-01,0.268467983,0.02086199,-0.008924052,-0.080323338
1999-09-01,0.247151584,-0.009779893,-0.02105465,-0.084816787
1999-10-01,0.211199325,-0.047928628,-0.041547159,-0.076526142
1999-11-01,0.241345477,-0.029923774,-0.013197462,-0.075412525
1999-12-01,0.305423313,-0.053232064,0.305423313,-0.080873138
2000-01-01,0.421517999,-0.10173898,0.421517999,-0.095590198
2000-02-01,0.335363426,-0.105909097,-0.050452766,-0.084245281
2000-03-01,0.297875133,-0.093592149,-0.057213425,-0.057167421
2000-04-01,0.349527423,-0.085581079,-0.006886373,-0.027606792
2000-05-01,0.245092457,-0.089144527,-0.047654807,-0.03404491
2000-06-01,0.17159173,-0.062814857,-0.072044226,-0.038454495
2000-07-01,0.192266849,-0.063198457,-0.034505885,-0.016363948
2000-08-01,0.131213131,-0.040896409,-0.070205635,-0.001744264
2000-09-01,0.157318357,-0.032820266,-0.034734838,0.08456419
2000-10-01,0.096956046,-0.011958691,-0.067400554,-0.0085279
2000-11-01,0.034810513,0.014295554,-0.094830005,0.107339458
2000-12-01,-0.034754704,0.064837429,-0.140868633,0.144587961
2001-01-01,-0.021734926,0.087902774,-0.121508872,0.173694831
